name,otherTableId
Bakı,1
Sumqayıt,2
Xırdalan,2
Xızı,2
Naxçıvan,3
Babək,3
Culfa,3
Kəngərli,3
Ordubad,3
Sədərək,3
Şahbuz,3
Şərur,3
Ağsu,3
İsmayıllı,3
Qobustan,3
Şamaxı,3
Gəncə,4
Naftalan,4
Daşkəsən,4
Goranboy,4
Göygöl,4
Samux,4
Xankəndi,5
Ağcabədi,5
Ağdam,5
Bərdə,5
Füzuli,5
Xocalı,5
Xocavənd,5
Şuşa,5
Tərtər,5
Ağstafa,6
Gədəbəy,6
Qazax,6
Şəmkir,6
Tovuz,6
Astara,7
Cəlilabad,7
Lerik,7
Lənkəran,7
Masallı,7
Yardımlı,7
Mingəçevir,8
Ağdaş,8
Göyçay,8
Kürdəmir,8
Ucar,8
Yevlax,8
Zərdab,8
Beyləqan,9
İmişli,9
Saatlı,9
Sabirabad,9
Balakən,10
Qax,10
Qəbələ,10
Oğuz,10
Şəki,10
Zaqatala,10
Cəbrayıl,11
Kəlbəcər,11
Qubadlı,11
Laçın,11
Zəngilan,11
Şirvan,12
Biləsuvar,12
Hacıqabul,12
Neftçala,12
Salyan,12
